index_content,word,nature,emotion
45,天下,s,1
45,本币,n,1
45,股票,n,1
45,跨国,n,1
45,避险,v,1
45,平仓,nr,1
45,利,n,1
45,超过,v,1
45,永久,d,1
45,持股,v,1
45,本金,n,1
46,南京,ns,1
46,新百,nz,1
46,比好,d,1
46,十倍,m,1
46,机会,n,1
47,梭哈,nrt,0
47,天亮,nr,0
47,不停息,v,0
48,冲冲,vn,0
48,第一,m,0
48,目标,n,0
48,位,q,0
49,茅子,n,0
50,买,v,0
50,买中锐,nr,0
50,股份,n,0
50,旗下,n,0
50,贵,a,0
50,宴,ng,0
50,樽,ng,0
51,万亿,m,0
51,差点,n,0
52,利好,a,0
52,贵,a,0
52,宴,ng,0
52,樽,ng,0
52,酒,n,0
52,成都,ns,0
52,展会,v,0
52,天,q,0
52,销售额,n,0
53,大盘,n,1
53,靠你了,l,1
53,拉,v,1
54,超买,v,0
54,回调,v,0
55,一大,a,1
55,箱,q,1
55,大气,n,1
55,格局,n,1
55,嘱咐,v,1
55,被,p,1
55,人狸,n,1
55,换,v,1
55,太子,n,1
56,第四次,m,0
56,立帖,nr,0
56,证,n,0
56,重复,d,0
56,四川长虹,nt,0
56,走势,n,0
57,转发,v,0
58,想,v,1
58,大盘,n,1
58,红,a,1
58,没人,v,1
58,真心实意,l,1
58,拉阿茅,nr,1
58,有意思,l,1
58,大笑,v,1
59,股市,n,1
59,祸害,n,1
60,夕阳,ns,1
60,产业,n,1
60,元,m,1
61,年轻人,n,1
61,喝酒,v,1
61,滴汗,n,1
61,被,p,1
61,囤,v,1
61,居多,d,1
62,懂行,v,0
62,老师,n,0
62,请,v,0
62,帮忙,v,0
62,酒,n,0
62,买,v,0
62,收藏,v,0
62,送礼,v,0
63,内资,n,0
63,机构,n,0
63,布局,n,0
63,波,n,0
63,结束,v,0
63,融资,vn,0
63,客爆,a,0
64,价位,n,0
64,元,m,0
65,泡脚,n,0
65,杀菌,n,0
65,止痒,v,0
65,大笑,v,0
66,买,v,0
66,散户,n,0
66,顶板,n,0
66,顶板,n,0
66,风险,n,0
66,太,d,0
67,估计,v,0
67,排除,v,0
67,复制,v,0
67,历史,n,0
67,持续,vd,0
67,上涨,v,0
67,股,n,0
68,机构,n,0
68,护盘,n,0
68,任由,n,0
68,票,n,0
68,下跌,v,0
68,拉,v,0
68,权重,n,0
69,解套,nz,1
69,哭,v,1
70,生死关,n,1
70,笑,v,1
70,哭,v,1
71,两天,m,1
71,前,f,1
71,买,v,1
71,买,v,1
71,一手,m,1
71,笑,v,1
71,哭,v,1
72,行情,n,1
72,很大,a,1
72,空间,n,1
73,离开,v,0
73,镇,n,0
73,酿,v,0
73,出酒,v,0
73,伪,j,0
73,命题,n,0
74,一种,m,1
74,花家唯,nr,1
74,全球,n,1
74,定价权,n,1
74,高度,n,1
74,垄断,v,1
74,行业,n,1
75,主买,v,0
75,一只,m,0
75,个股,n,0
76,回调,v,0
76,完事,v,0
76,向上,d,0
76,破位,v,0
77,上方,f,0
77,缺口,n,0
77,要补,v,0
77,补,v,0
77,走,v,0
78,酒,n,0
78,企,n,0
78,征战,v,0
78,糖酒会,n,0
78,大牌,n,0
78,酒,n,0
78,企,n,0
78,亮点,n,0
78,酒,n,0
78,企,ng,0
78,新创,n,0
79,市值,n,1
79,亿,m,1
79,水井坊,n,1
79,市值,n,1
79,亿,m,1
79,中,n,1
79,无人机,l,1
79,价值,n,1
80,融资,vn,1
80,分红,v,1
80,角度,n,1
80,上市,ns,1
80,融,v,1
80,亿,m,1
81,融资,vn,1
81,分红,v,1
81,角度,n,1
81,上市,ns,1
81,融,v,1
81,亿,m,1
82,真的,d,0
82,抗跌,v,0
82,这么久,r,0
83,以岭,ns,0
83,药业,n,0
83,连板,n,0
83,茅坑,n,0
83,永远,d,0
83,坑,n,0
83,韭菜,n,0
84,飞天,n,0
84,普茅,nr,0
84,终端,n,0
84,零售价格,n,0
84,降到,v,0
84,以内,f,0
85,第三次,m,0
85,立帖,nr,0
85,证,n,0
85,重复,d,0
85,四川长虹,nt,0
85,走势,n,0
86,进,v,0
87,缺口,n,1
87,阻力,n,1
88,以岭,ns,1
88,禾,ng,1
88,招商,n,1
88,触底,n,1
88,拉,v,1
88,大盘,n,1
88,重回,v,1
88,牛市,n,1
88,起点,n,1
89,股市,n,1
89,有望,v,1
89,创造,v,1
89,历史,n,1
89,股,q,1
90,几类,m,1
90,资金,n,1
90,配合,v,1
90,形式,n,1
90,入场,n,1
90,第一种,m,1
91,反弹,v,1
91,告一段落,l,1
91,预计,vn,1
91,未来,t,1
91,下跌,v,1
91,趋势,n,1
91,止跌企稳,l,1
92,酱酒,n,0
92,视界,n,0
92,日刊,n,0
92,刊,zg,0
92,双,n,0
92,酒水,n,0
92,销售,vn,0
92,榜单,n,0
92,公布,v,0
92,受,v,0
93,消费,vn,1
93,牛市,n,1
93,消费,vn,1
93,牛市,n,1
93,起点,n,1
94,装,v,0
94,上方,f,0
94,缺口,n,0
94,赶紧,d,0
94,麻溜的,z,0
94,补,v,0
94,元,m,0
94,突破,vn,0
96,空,a,0
96,仓,nr,0
96,买,v,0
96,做,v,0
96,对冲,n,0
96,铁律,n,0
96,被套,a,0
97,中天,t,0
97,服务,vn,0
97,板,ng,0
97,真,d,0
97,笑哈哈,z,0
98,希望,v,1
99,注册,v,0
99,制,n,0
99,远离,v,0
99,买进,v,0
99,绩优,b,0
99,高,a,0
99,分红,v,0
99,冀中,ns,0
99,能源,n,0
100,喝酒,v,1
100,买点,n,1
100,华兰,ns,1
100,疫苗,n,1
100,股,q,1
100,为国为家,l,1
100,争光,n,1
101,暴涨暴跌,l,1
101,有人,r,1
101,抱团,n,1
102,北上,f,1
102,资金,n,1
102,大幅,d,1
102,回流,v,1
102,股,q,1
102,重点,n,1
102,布局,n,1
102,有色,n,1
102,家电,j,1
102,行业,n,1
103,猫,n,0
103,尿,n,0
103,倒,v,0
104,策略,n,0
104,字,n,0
104,卖,v,0
104,四个,m,0
104,字,n,0
104,卖,v,0
104,买,v,0
105,底,f,1
105,成,v,1
105,顶,v,1
106,美联,ns,1
106,加息,v,1
106,外资,n,1
106,回去,v,1
106,吃,v,1
106,利息,n,1
106,高位,n,1
106,套,q,1
107,坚定,a,1
107,做,v,1
107,参照,v,1
107,轮,q,1
107,比亚迪,nr,1
107,带领,v,1
107,大盘,n,1
107,反弹,v,1
107,这轮,r,1
107,茅王,n,1
108,科技股,n,0
108,赚,v,0
108,钱,n,0
108,区别,n,0
109,跌,v,1
109,真的,d,1
109,牛市,n,1
110,北上,f,0
110,资金,n,0
110,交易日,n,0
110,净,a,0
110,卖出,v,0
110,亿,m,0
110,卖出,v,0
110,榜,n,0
110,前,f,0
110,股,q,0
111,酒,n,0
111,说,v,0
111,酒,n,0
111,讲,v,0
111,酒,n,0
111,没醒,v,0
111,说,v,0
111,酒,n,0
111,兴国,ns,0
111,国家,n,0
111,病毒,n,0
111,防控,vn,0
111,重中,ns,0
112,看着,v,1
112,货,n,1
112,行,v,1
112,吃,v,1
112,瓜,n,1
112,吃,v,1
112,瓜,n,1
112,卡拉,nrt,1
112,咪,n,1
113,喝,vg,0
113,会上,t,0
113,头,n,0
113,呲,v,0
113,牙,n,0
114,涨,v,0
114,天理不容,l,0
115,腾讯,nz,0
115,仓位,n,0
115,正式,ad,0
115,超过,v,0
115,平安,a,0
116,反弹,v,1
116,目标,n,1
116,上方,f,1
116,大盘,n,1
116,肯定,v,1
116,空间,n,1
116,轮,q,1
117,遠,a,0
117,沒,d,0
117,跌,v,0
117,到位,v,0
118,外资,n,0
118,打,v,0
118,服帖,n,0
118,打打,v,0
119,昨天,t,0
119,拉高,nrt,0
119,出货,v,0
119,散户,n,0
119,进,v,0
120,建议,n,0
120,散户,n,0
120,短中线,b,0
120,暂时,d,0
120,碰,v,0
120,主力,n,0
120,相互,d,0
120,斗法,vn,0
120,批,q,0
121,三十年河东,ns,1
121,三十年,m,1
121,河西,ns,1
121,落帔,n,1
121,凤凰,nr,1
121,鸡,n,1
122,药,n,1
122,酒,n,1
122,资本,n,1
122,娱乐圈,n,1
122,大佬,nz,1
122,魂,n,1
122,资本,n,1
122,娱乐圈,n,1
122,明星,nr,1
122,头,n,1
123,事情,n,1
123,说,v,1
123,三遍,m,1
124,牛市,n,0
124,泼,v,0
124,四盆,m,0
124,冷水,n,0
125,大哥,n,0
125,红,a,0
125,后续,v,0
126,太牛,n,1
126,涨到,v,1
126,万亿,m,1
126,全球,n,1
126,市场,n,1
126,清仓,nr,1
126,股票,n,1
126,股,q,1
127,涨,v,1
127,涨,v,1
127,涨,v,1
128,指日可待,i,1
129,奉劝,v,0
129,机构,n,0
129,基金,n,0
129,经理,n,0
129,放下,v,0
129,武器,n,0
129,投降,v,0
129,卖,v,0
130,坚定,a,1
130,做,v,1
130,参照,v,1
130,轮,q,1
130,比亚迪,nr,1
130,带领,v,1
130,大盘,n,1
130,反弹,v,1
130,这轮,r,1
130,茅王,n,1
131,瓶子,n,1
131,大笑,v,1
131,大笑,v,1
131,大笑,v,1
131,大笑,v,1
132,参照,v,1
132,轮,q,1
132,比亚迪,nr,1
132,带领,v,1
132,大盘,n,1
132,反弹,v,1
132,这轮,r,1
132,茅王,n,1
132,反弹,v,1
133,参照,v,1
133,轮,q,1
133,比亚迪,nr,1
133,带领,v,1
133,大盘,n,1
133,反弹,v,1
133,这轮,r,1
133,茅王,n,1
133,反弹,v,1
134,反弹,v,0
134,目标,n,0
134,上方,f,0
134,大盘,n,0
134,肯定,v,0
134,空间,n,0
135,全,a,1
135,市场,n,1
136,反弹,v,1
136,目标,n,1
136,上方,f,1
137,断言,n,1
137,未来,t,1
137,回,v,1
137,不到,v,1
137,巅峰,n,1
137,时期,n,1
138,全仓,n,0
138,杀入,v,0
139,空,n,0
139,卖空,n,0
139,卖空,n,0
139,期指,n,0
139,卖空,n,0
140,茅王,nr,1
140,震荡,v,1
140,高,a,1
140,上方,f,1
140,拭目以待,i,1
141,真理,n,1
141,手里,s,1
142,暴跌,v,1
142,昨天,t,1
142,卖空,n,1
143,涨起来,v,1
143,大盘,n,1
144,板块,n,1
144,茅坑,n,1
144,威下,n,1
144,发抖,v,1
144,连新,a,1
144,小弟,n,1
144,进场,n,1
144,涨停,v,1
144,影,vn,1
145,目标,n,0
145,不到,v,0
145,不卖,v,0
145,跌,v,0
145,买,v,0
145,几首,m,0
146,韭菜,n,1
146,被套,a,1
146,追高,v,1
146,股市,n,1
146,永恒,z,1
146,定律,n,1
147,下跌,v,1
148,涨停,v,1
149,投资者,n,1
149,股市,n,1
149,中,f,1
149,话,n,1
149,信,n,1
149,唯独,d,1
149,一句,m,1
149,股市,n,1
149,谚语,n,1
150,反转,v,1
151,说,v,0
151,股,q,0
151,里,f,0
151,公司,n,0
152,股价,n,1
152,下跌,v,1
152,引发,v,1
152,利益,n,1
152,亏空,vn,1
152,下跌,v,1
152,买,v,1
153,市值,n,1
153,狂跌,v,1
153,万亿,m,1
153,股价,n,1
153,腰斩,v,1
153,不败,v,1
153,神话,n,1
153,破灭,v,1
154,一句,m,1
154,话,n,1
154,无限风光,l,1
154,险峰,n,1
155,上涨,v,1
155,短线,b,1
155,风险,n,1
155,较大,a,1
155,上证,j,1
155,现价,n,1
155,点,m,1
155,朋友,n,1
156,转发,v,0
157,短线,b,1
157,补,v,1
157,上方,f,1
157,缺口,n,1
157,中线,n,1
158,散户,n,0
158,高位,n,0
158,接盘,v,0
158,韭菜,n,0
158,消费,vn,0
158,国内,s,0
158,受疫,v,0
159,短线,b,1
159,风险,n,1
159,很大,a,1
159,很大,a,1
159,急需,n,1
159,暴跌,v,1
159,调整,vn,1
160,反弹,v,0
160,几天,m,0
160,回调,v,0
161,一位,m,1
161,朋友,n,1
161,问,v,1
161,短,a,1
161,中长线,j,1
161,模式,n,1
162,普,nr,1
162,涨,v,1
162,格局,n,1
162,难,a,1
162,选出,v,1
162,市场,n,1
162,总,b,1
162,龙头,n,1
163,估计,v,0
163,凉,v,0
164,亮相,n,1
164,携手,v,1
164,众,ng,1
164,世界,n,1
164,一流,n,1
164,品牌,n,1
164,共建,v,1
164,绿色,n,1
164,经济,n,1
164,链,n,1
165,发生,v,1
165,鼓掌,v,1
165,憨笑,a,1
165,加油,v,1
165,憨笑,a,1
166,学习,v,1
166,巴菲特,nrt,1
166,抄底,n,1
166,半导体,n,1
166,高,a,1
166,抛,v,1
166,比亚迪,nr,1
167,抄,v,1
167,股神,n,1
167,作业,n,1
167,学习,v,1
167,巴菲特,nrt,1
167,抄底,n,1
167,半导体,n,1
167,高,a,1
167,抛,v,1
168,政策,n,1
168,红利,nz,1
168,呵护,v,1
168,历史,n,1
168,久远,d,1
168,古文化,nr,1
168,传承,v,1
168,茅,n,1
169,大幅,d,0
169,高开,nr,0
169,打爆,v,0
169,空头,n,0
170,六个,m,0
170,点,m,0
170,涨幅,n,0
171,策略,n,1
171,早,a,1
171,盘上,s,1
171,乏力,a,1
171,买,v,1
171,下跌,v,1
171,盘整,vn,1
172,认知,v,1
172,抄底,n,1
172,卖空,n,1
173,关键,n,0
173,卖空,n,0
174,抬杠,v,0
174,卖空,n,0
175,周三,t,0
175,大盘,n,0
175,走势,n,0
175,预判,vn,0
176,破,v,1
176,低位,n,1
176,中信,nz,1
176,招商,n,1
176,准,v,1
176,准,v,1
176,拭目以待,i,1
177,翰宇,nz,1
177,药业,n,1
177,重磅,n,1
177,产品,n,1
177,亮相,n,1
177,高交会,j,1
177,持续,vd,1
177,推进,v,1
177,新冠,n,1
177,创新,v,1
177,药,n,1
177,研发,j,1
177,布,nr,1
178,私下,n,1
178,猜测,vn,1
178,暗示,v,1
178,好日子,l,1
178,夕阳,ns,1
178,西,f,1
179,发财,v,1
179,走,v,1
180,跌,v,1
180,涨,v,1
180,人性,n,1
182,获,v,0
182,沪,j,0
182,股通,n,0
182,增持,v,0
182,万股,m,0
183,融资,vn,0
183,净,a,0
183,偿还,v,0
183,亿元,m,0
183,两,m,0
183,市,n,0
183,排名,v,0
183,第一,m,0
184,机构,n,0
184,炒,v,0
184,喝酒,v,0
185,倒,v,1
185,万物,n,1
185,不生,v,1
186,完蛋,v,0
186,反弹,v,0
186,结束,v,0
186,被,p,0
186,骗进,v,0
187,反弹,v,0
187,持续,vd,0
187,盘底,s,0
187,消费,vn,0
187,暂,d,0
187,淡,a,0
188,投资,vn,1
188,早报,n,1
189,全线,n,0
189,反弹,v,0
189,市场,n,0
189,值得,v,0
190,解套,nz,1
190,哪位,r,1
190,课,n,1
190,代表,n,1
190,说,v,1
190,说,v,1
191,每股,r,0
191,一千五百多,m,0
191,上海,ns,0
191,房价,n,0
191,十万左右,m,0
191,平,q,0
192,实力,n,1
192,强国,n,1
192,典范,n,1
193,酒不醉,i,1
193,自醉,v,1
193,虚高,a,1
193,股价,n,1
193,害人,n,1
194,调整,vn,0
194,往里面,n,0
195,股票,n,1
195,人为,n,1
195,找出,v,1
195,赋予,v,1
195,价值,n,1
195,理由,n,1
195,茅,n,1
196,喝酒,v,1
196,危害,n,1
196,越来越,d,1
196,认知,v,1
196,酒,n,1
197,抓住,v,1
197,短线,b,1
197,卖出,v,1
197,时机,n,1
198,引,v,0
198,观注,v,0
199,逆市,n,1
199,翻红,v,1
199,主力,n,1
199,资金,n,1
199,净,a,1
199,流出,v,1
199,多亿,m,1
200,品牌价值,n,1
200,高,a,1
200,推出,v,1
200,系列产品,n,1
201,股,q,1
201,反弹,v,1
201,落后,a,1
201,纳,nr,1
201,港股,n,1
201,历史,n,1
201,涨幅,n,1
201,赛道,n,1
201,股,q,1
201,茅,n,1
202,重磅,n,0
202,底部,f,0
202,确立,v,0
202,明天,t,0
202,涨停,v,0
202,新一轮,nz,0
202,上涨,v,0
202,三千元,m,0
202,目标,n,0
204,希望,v,1
204,市值,n,1
204,哥,n,1
204,需,v,1
204,努力,ad,1
205,买,v,0
205,高价股,n,0
205,喝,vg,0
205,机会,n,0
205,远远,d,0
205,小于,v,0
205,买,v,0
205,超跌,v,0
205,绩优股,n,0
206,阶段,n,1
206,买,v,1
206,建行,v,1
206,买,v,1
207,买,v,1
207,大儿,n,1
207,大笑,v,1
207,大笑,v,1
207,大笑,v,1
207,大笑,v,1
208,未来,t,1
208,一年,m,1
208,反转,v,1
208,创,n,1
208,历史,n,1
208,新高,v,1
208,概率,n,1
208,贵,a,1
209,学习,v,1
209,价值,n,1
209,投资,vn,1
209,理念,n,1
209,挣钱,v,1
209,难,a,1
210,股价,n,1
210,下跌,v,1
210,股,n,1
210,价格,n,1
210,王者,n,1
210,退位,v,1
210,事,n,1
211,主见,n,1
211,被,p,1
211,灌入,v,1
211,有毒,v,1
211,思想,n,1
211,把酒,v,1
211,发扬,v,1
212,人性,n,1
212,确实,ad,1
213,倒,v,0
213,就别,d,0
213,玩,v,0
213,股票,n,0
213,只能,v,0
213,卖空,n,0
214,明天,t,0
214,暴跌,v,0
214,卖空,n,0
214,赚,v,0
215,死,v,1
215,股市,n,1
215,希望,v,1
216,调整,vn,1
216,股价,n,1
216,重回,v,1
216,元,m,1
216,之上,f,1
216,再度,d,1
216,冲击,vn,1
216,元,m,1
217,真理,n,1
217,手中,s,1
217,卖空,n,1
218,前,f,0
218,几天,m,0
218,买,v,0
218,钱,n,0
218,赚,v,0
218,麻,n,0
218,感谢,v,0
218,空狗,n,0
220,明德,nr,1
220,生物,n,1
220,短线,b,1
220,起跳,v,1
220,业绩,n,1
220,王,nr,1
220,炸,n,1
220,跨,v,1
220,妖王,n,1
221,刚刚,d,0
221,清仓,nr,0
221,赚,v,0
221,两万,m,0
222,回,v,0
222,踩,v,0
222,拉升,v,0
222,李大霄,nr,0
222,口中,s,0
222,牛市,n,0
222,抄底,n,0
222,机会,n,0
223,呼,zg,1
223,锂,n,1
223,茅,n,1
223,锂,n,1
223,酒,n,1
223,毛利率,n,1
223,高,a,1
223,达,v,1
223,盐湖,ns,1
223,股份,n,1
224,一股,m,0
224,股价,n,0
224,比不上,l,0
224,市面上,n,0
224,一瓶,m,0
224,价格,n,0
224,酒,n,0
224,生,vn,0
225,能涨,v,1
225,万,m,1
225,四辈,m,1
225,开心,v,1
225,开心,v,1
226,条,n,1
226,春天,t,1
226,拐点,n,1
226,已现,v,1
226,回光返照,i,1
227,能涨,v,0
227,万方,m,0
227,天鹅,nz,0
227,西安,ns,0
227,众泰,nz,0
227,贵绳,n,0
228,明天,t,0
228,割,v,0
228,韭菜,n,0
229,转发,v,0
230,先,d,1
230,补,v,1
230,大盘,n,1
231,最少,d,0
231,能涨,v,0
232,啥意思,n,1
232,微笑,vn,1
233,明天,t,0
233,买,v,0
233,手,n,0
234,缺口,n,1
234,补,v,1
234,一部分,m,1
234,补完,v,1
234,调头,v,1
234,主力,n,1
235,炒,v,0
235,垃圾,n,0
235,累不累,v,0
235,心疼,a,0
235,茅坑,n,0
235,散户,n,0
236,宁德,nr,0
236,元,m,0
236,一股,m,0
236,接受,v,0
236,一股,m,0
236,嫌,v,0
236,高,a,0
236,茅酒,n,0
237,分水岭,n,1
238,地方,n,1
238,财政,n,1
238,兑现,v,1
238,酒,n,1
238,企,n,1
238,股权,n,1
238,资金,n,1
238,润泽,n,1
239,反弹,v,1
239,诱,vg,1
239,卖出,v,1
239,卖出,v,1
239,卖出,v,1
239,卖出,v,1
239,下跌,v,1
240,明德,nr,1
240,生物,n,1
240,短线,b,1
240,起跳,v,1
240,业绩,n,1
240,王,nr,1
240,炸,n,1
240,跨,v,1
240,妖王,n,1
241,爆发,v,0
241,前夜,t,0
241,上涨,v,0
241,上涨,v,0
241,上涨,v,0
241,上涨,v,0
241,买入,v,0
241,买入,v,0
241,买入,v,0
242,跌破,v,0
242,元,m,0
242,估值,n,0
242,肯定,v,0
242,跌破,v,0
242,元,m,0
243,优化,vn,1
243,地方,n,1
243,财政,n,1
243,形势,n,1
243,投资,vn,1
243,结构,n,1
243,多元化,vn,1
243,信息化,n,1
243,战略,n,1
244,季线,n,0
244,线,n,0
244,主跌,v,0
244,浪,n,0
244,卖出,v,0
244,卖出,v,0
244,卖出,v,0
244,卖出,v,0
244,下跌,v,0
245,海新能科,nz,0
245,倍,m,0
245,股,n,0
245,白菜价,n,0
245,赶紧,d,0
245,买,v,0
246,跌破,v,0
246,一千,m,0
246,信不信,v,0
246,股票,n,0
246,涨,v,0
246,猛,d,0
246,跌,v,0
247,跨年大,b,1
247,妖是,n,1
248,浮盈了,l,1
248,判断,v,1
248,没错,v,1
248,买入,v,1
248,被,p,1
249,明天,t,1
249,艳阳天,n,1
249,时隔,n,1
249,七年,m,1
249,行情,n,1
250,反弹,v,1
250,结束,v,1
250,上方,f,1
250,缺口,n,1
250,补,v,1
250,下跌,v,1
250,一千,m,1
251,开局,n,1
251,巅峰,n,1
251,野性,b,1
251,暴涨,v,1
252,股价,n,1
252,元,m,1
252,每股,r,1
252,收益,n,1
252,元,m,1
252,总,b,1
252,股本,n,1
253,空,n,1
253,卖空,n,1
253,大部分,m,1
253,散户,n,1
254,真理,n,1
254,极少数人,n,1
254,手里,s,1
254,抄底,n,1
254,卖空,n,1
255,带给,v,1
256,关注,v,1
256,短线,b,1
256,卖出,v,1
256,时机,n,1
256,调整,vn,1
256,介入,v,1
256,臆想,v,1
257,跨年大,b,1
257,妖,n,1
257,近期,t,1
257,横空出世,i,1
258,财力,n,0
259,牛市,n,1
259,火箭,n,1
259,火箭,n,1
259,火箭,n,1
260,清仓,nr,0
260,没卖,v,0
260,最高点,n,0
260,短暂,a,0
261,青岛,ns,0
261,银行,n,0
261,发布,v,0
261,股,q,0
261,配股,v,0
261,发行,v,0
261,公告,n,0
261,称,v,0
261,本次,r,0
261,股,q,0
261,配,v,0
262,观点,n,1
262,空,n,1
262,卖空,n,1
262,真理,n,1
262,手里,s,1
263,冲锋号,n,0
263,吹起来,v,0
263,想,v,0
264,跌,v,1
264,反弹,v,1
265,牛市,n,1
265,终于,d,1
265,大笑,v,1
265,大笑,v,1
265,大笑,v,1
266,逃命,v,1
266,机会,n,1
266,散户,n,1
266,机构,n,1
267,网格,n,0
267,交易,n,0
267,实盘,n,0
268,转发,v,0
269,买,v,0
269,散户,n,0
269,顶板,n,0
269,顶板,n,0
269,风险,n,0
269,太,d,0
270,成交量,n,1
270,万亿,m,1
270,之上,f,1
270,外资,n,1
270,连续,a,1
270,抄底,n,1
271,失望,v,0
271,无视,v,0
271,说,v,0
271,不想,v,0
273,猛,d,0
273,干,v,0
273,新能源,n,0
273,昨天,t,0
273,假消息,n,0
273,满天飞,nr,0
273,哭,v,0
274,明天,t,0
274,破,v,0
274,两,m,0
274,万亿,m,0
274,牛,n,0
275,希望,v,1
275,机构,n,1
275,做,v,1
275,无谓,v,1
275,抵抗,vn,1
275,历史,n,1
275,教育,vn,1
276,疯狂,a,0
276,买入,v,0
276,亿,m,0
276,外资,n,0
276,连续,a,0
276,三天,m,0
276,大幅,d,0
276,买入,v,0
276,买,v,0
277,道者,n,1
277,言,vg,1
277,可喜,v,1
277,可加,v,1
277,追,v,1
278,天上,s,1
278,管住,v,1
278,小手,n,1
279,烟台,n,1
279,冰轮,n,1
279,涵盖,v,1
279,哈特福德,nrt,1
279,顿汉,ns,1
279,布什,nrt,1
279,东德,nr,1
279,实业,n,1
280,明天,t,0
280,碰,v,0
280,加速,v,0
280,上涨,v,0
280,年底,t,0
280,目标,n,0
281,重仓股,n,0
281,加快,v,0
281,终端用户,n,0
282,重仓股,n,0
282,整体,n,0
282,需求,v,0
283,零售价,n,0
283,元,m,0
283,元,m,0
284,酒,n,0
284,上天,t,0
285,股价,n,0
285,多块,m,0
286,波,j,1
287,食品饮料,n,0
287,领涨,v,0
287,冲击,vn,0
287,挑,v,0
